mcsADDN:bdoHROUMapping
OU=00149,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Cubao Area; Aurora Blvd.-Anonas Branch
OU=00150,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Pasay Area; SM Retail HQ Bldg. B Branch
OU=00151,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Cubao Area; Eastwood City-E. Rodriguez Jr Ave Branch
OU=00152,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Bicutan/Sucat Area; SM City Bicutan Branch
OU=00153,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Pasig Area; Pasig-Oranbo Drive Branch
OU=00154,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Pasay Area; Pasay-Two Shopping Center Branch
OU=00155,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Greenhills Area; Ortigas Avenue Branch
OU=00156,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Mandaluyong Area; Shaw Blvd.-High Pointe Center Branch
OU=00157,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; SM City San Lazaro Branch
OU=00158,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Divisoria-Juan Luna Branch
OU=00159,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Padre Rada Branch
OU=00160,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Caloocan 7th Avenue Branch
OU=00161,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Banawe Area; Quezon Avenue-Araneta Branch
OU=00162,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Timog Area; Timog-Rotonda Branch
OU=00163,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Del Monte Area; West Avenue-East Maya Branch
OU=00164,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 1 Area; España-Blumentritt Branch
OU=00165,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 1 Area; Paco Branch
OU=00166,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Monumento Area; Navotas Branch
OU=00167,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Marikina Area; Marikina-Sumulong Highway Branch
OU=00168,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 1 Area; Philam Tower-Valero Branch
OU=00169,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Alabang Area; Dr. A. Santos Avenue Branch
OU=00170,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 1 Area; BDO Salcedo Center Branch
OU=00171,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Eastern Visayas Area; Cebu Legaspi Branch
OU=00172,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Eastern Visayas Area; Cebu-Borromeo Branch
OU=00173,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Davao Area; Davao JP Laurel Branch
